name,date,venue,description
Welcome Fair,2025-09-20,Main Library Plaza,Clubs and societies showcase
Hackathon,2025-10-05,Engineering Complex 101,24-hour coding challenge
Career Expo,2025-10-15,Business School Hall A,Meet employers and workshops
Theatre Night,2025-09-28,Arts Center Stage,Student production
Basketball Game,2025-09-22,Recreation Center Arena,Home vs Rivals
Health Screening,2025-09-25,Medical Center Lobby,Free check-ups for students
Research Colloquium,2025-10-12,Science Hall 204,Faculty research talks
Library Workshop,2025-09-26,Main Library Room 3,Research skills training



